id;buyer_login;buyer_first_name;buyer_last_name;buyer_email;buyer_phone;amount_of_cart_net;amount_of_cart_gross;amount_of_shipment_net;amount_of_shipment_gross;amount_of_order_net;amount_of_order_gross;order_main_status;create_time;update_time
1;while hm;distant as;ouch jubilantly;spirited;sausage eek until;22940.61;5617.27;9310.28;1714;14776.53;10007.65;Delivered;2024-01-07T12:58:21;2024-01-08T07:19:47
2;feline via;overpay yippee;ouch heavily;cinch recharge;transmission ultimately stray;13008.18;31964.23;25470.79;14923.74;9383.09;4189.11;WaitingForBankTransfer;2024-01-07T21:29:48;2024-01-07T14:48:27
3;fugato;inbox;though;whereas consequently guzzle;optimistically dapper lest;19603.25;11899.29;12657.2;3431.84;3677.04;11763.89;WaitingForBankTransfer;2024-01-07T12:52:37;2024-01-07T23:21:57
4;till now;even apt melodic;reject who;before;nor er hence;26207.73;26808.54;2630.01;21203.91;16489.6;29064.53;WaitingForBankTransfer;2024-01-08T02:49:34;2024-01-08T05:22:08
5;weakly domesticate;cold deactivate;shrivel vague;overwork bump behind;magnificent frugal;13732.11;17643.42;23345.48;884.24;14329.23;32354.38;WaitingForBankTransfer;2024-01-07T10:57:32;2024-01-08T02:44:16
6;supposing integrate phooey;mmm;readily;conserve;aha hatchet;10179.38;20917.15;18415.36;21995.3;15713.58;3542.47;PreparationForShipping;2024-01-08T05:15:28;2024-01-07T13:35:10
7;with gloat against;reassuringly generously;between vice;purify;whose;17327.41;32570.2;29640.06;17525.19;32449.21;31685.79;Canceled;2024-01-08T04:27:52;2024-01-08T01:24:29
8;dreamily compromise;fortunately provided;now viewing;conspirator grass;genuine;6763.15;3492.45;11180.03;4094.2;18697.98;7543.11;Delivered;2024-01-07T10:03:15;2024-01-07T15:29:39
9;wink afore whenever;an;terrorise phew;incidentally;oof how;29211.03;4934.77;27971.86;1826.91;14372.56;11356.95;WaitingForBankTransfer;2024-01-08T01:40:42;2024-01-07T18:39:13
10;province;despite;echo bold readily;vintner;light stick yet;20404.4;16711.33;25909.57;8746.61;3190.56;29307.87;Canceled;2024-01-08T06:27:40;2024-01-08T05:11:39
