id;first_name;last_name;street;postal_code;city;country;phone_to_the_receiver;firm;tax_number
1;Nola;Torp;Yundt Streets;mmm;Omarifort;Luxembourg;fluffy blindly congratulate;when;crate
2;Piper;Goyette;Joelle Drive;ew vilify flashy;Carmellachester;Sierra Leone;furthermore outgoing;optimal furthermore why;a or
3;Arvilla;Frami;Cary Estates;since cooperative;Arvada;Kiribati;dapper;fiddle helplessly;ouch distract yuck
4;Neha;Bernhard;N Center Street;yowza;South Conor;Botswana;what however blah;huzzah abaft;unlock decriminalise
5;Ronny;Bechtelar;Rosie Grove;before collectivizat;Willyfort;Ecuador;calico lymphocyte advise;aha pish;warble famous
6;Khalid;Ondricka;Laury Fort;romanticise sugar;North Colleentown;Dominican Republic;via after sternly;duh;save abaft
7;Brett;Becker;Harvey Mountain;as irritably meh;North Ofelia;Dominica;integral clerk by;until provided;officially
8;Boyd;Mraz;Breitenberg Causeway;composed;North Felicita;Saudi Arabia;filibuster;meanwhile brr questioningly;briefly
9;Ashton;Heathcote;Sporer Highway;sadly;Champlinworth;Barbados;bah livid yuck;instantly whoever ack;reservation till
10;Sheridan;Flatley;Welch Valleys;superintend ringworm;Fort Macborough;Uruguay;refresh pretend;belated qua gleefully;stained
